concept,dep_articles_de2,dep_articles_de3,dep_articles
Structure (mathematical logic),"['Homomorphism', 'Ring homomorphism']","['Homomorphism', 'Isomorphism', 'Function (mathematics)', 'Rational data type', 'Linear map']","['Function (mathematics)', 'Linear map', 'Rational data type', 'Ring homomorphism', 'Isomorphism', 'Homomorphism']"
Coding theory,"['Code', 'Gray code', 'Hamming distance']","['Software bug', 'Finite field', 'Code word', 'Abstract algebra', 'Signal-to-noise ratio']","['Finite field', 'Hamming distance', 'Software bug', 'Code', 'Abstract algebra', 'Gray code', 'Code word', 'Signal-to-noise ratio']"
Rigid body,[],"['Inner product space', 'Linear map', 'Product topology', 'Dimension (vector space)', 'Self-adjoint operator']","['Dimension (vector space)', 'Linear map', 'Product topology', 'Self-adjoint operator', 'Inner product space']"
Factorization,"['Factorization', 'Triangular matrix']","['Matrix (mathematics)', 'Triangular matrix', 'Main diagonal', 'System of linear equations', 'Field extension']","['Main diagonal', 'System of linear equations', 'Triangular matrix', 'Field extension', 'Matrix (mathematics)']"
QR code,"['Color space', 'Geometric median']","['Psychology', 'Electric power transmission', 'Field extension', 'White noise', 'Trans-Neptunian object']","['White noise', 'Color space', 'Trans-Neptunian object', 'Psychology', 'Field extension', 'Electric power transmission', 'Geometric median']"
Trigonometric interpolation,[],"['Lagrange polynomial', 'F(x) (musical group)', 'Polynomial', 'Fraction', 'Linear combination']","['Lagrange polynomial', 'F(x) (musical group)', 'Linear combination', 'Polynomial', 'Fraction']"
Cartesian product,[],"['Euclidean vector', 'Coordinate system', 'Geometry', 'Exercise', 'Function (mathematics)']","['Function (mathematics)', 'Coordinate system', 'Geometry', 'Euclidean vector', 'Exercise']"
Extrapolation,[],"['Data', 'Interpolation', 'Model (person)', 'Prediction', 'Cricket']","['Interpolation', 'Model (person)', 'Data', 'Cricket', 'Prediction']"
Quantum information,"['Linear subspace', 'Vector space']","['Vector space', 'Linear combination', 'Linear subspace', 'Subset', 'Empty set']","['Linear combination', 'Vector space', 'Linear subspace', 'Subset', 'Empty set']"
Event horizon,['Addition principle'],"['Counting problem (complexity)', 'Swing music', 'Probability theory', 'Addition', 'Permutation']","['Addition', 'Permutation', 'Counting problem (complexity)', 'Probability theory', 'Swing music', 'Addition principle']"
Symmetry (geometry),[],"['Quadratic function', 'Graph (discrete mathematics)', 'Parabola', 'Rotational symmetry', 'Function (mathematics)']","['Function (mathematics)', 'Rotational symmetry', 'Parabola', 'Quadratic function', 'Graph (discrete mathematics)']"
Sequence space,[],"['Archetype', 'Matrix (mathematics)', 'Vector space', 'Row and column spaces', 'Linear independence']","['Matrix (mathematics)', 'Vector space', 'Archetype', 'Row and column spaces', 'Linear independence']"
Polynomial interpolation,"['Canonical form', 'Coefficient', ""Cramer's rule""]","['Matrix (mathematics)', 'Polynomial', 'Nilpotent matrix', 'Diagonal matrix', 'Cramer family']","['Nilpotent matrix', 'Canonical form', 'Coefficient', 'Polynomial', ""Cramer's rule"", 'Diagonal matrix', 'Matrix (mathematics)', 'Cramer family']"
Translation,[],"['Solution (chemistry)', 'Solution set', 'Euclidean vector', 'Ordinary differential equation', 'Parameter']","['Solution (chemistry)', 'Parameter', 'Euclidean vector', 'Solution set', 'Ordinary differential equation']"
Reduced cost,"['Factorization', 'Triangular matrix']","['Triangular matrix', 'Matrix (mathematics)', 'Elementary matrix', 'Integration by substitution', 'Equation']","['Integration by substitution', 'Factorization', 'Elementary matrix', 'Triangular matrix', 'Equation', 'Matrix (mathematics)']"
Overfitting,"['Least squares', 'Line chart']","['Euclidean vector', 'Linear subspace', 'Penny', 'Length', 'Line fitting']","['Euclidean vector', 'Linear subspace', 'Line chart', 'Least squares', 'Line fitting', 'Length', 'Penny']"
Paradox,['Linear equation'],[],['Linear equation']
Polar decomposition,['Linear subspace'],"['Decomposition', 'Chemical polarity', 'Vector space', 'Real number', 'Matrix (mathematics)']","['Chemical polarity', 'Vector space', 'Linear subspace', 'Real number', 'Decomposition', 'Matrix (mathematics)']"
Linear inequality,['Consistency'],"['System of linear equations', 'Row echelon form', 'Matrix (mathematics)', 'Variable (mathematics)', 'Exercise']","['Consistency', 'System of linear equations', 'Row echelon form', 'Variable (mathematics)', 'Matrix (mathematics)', 'Exercise']"
Variable (mathematics),"['System of linear equations', 'Parameter', 'Rank (linear algebra)', 'Consistency', 'Random variable']","['Row echelon form', 'Free variables and bound variables', 'Matrix (mathematics)', 'System of linear equations', 'Augmented matrix']","['Augmented matrix', 'Free variables and bound variables', 'Consistency', 'System of linear equations', 'Row echelon form']"
Exterior derivative,[],"['Linear map', 'Vector space', 'Independence (probability theory)', 'Basis (linear algebra)', 'Mathematical proof']","['Linear map', 'Vector space', 'Independence (probability theory)', 'Basis (linear algebra)', 'Mathematical proof']"
Irrational number,"['Integer', 'Natural number', 'Rational number', 'Whole number']",[],"['Whole number', 'Integer', 'Natural number', 'Rational number']"
Auxiliary function,"['Eigenvalues and eigenvectors', 'Elementary mathematics', 'Elementary matrix']","['Elementary matrix', 'Matrix (mathematics)', 'Invertible matrix', 'Type theory', 'Identity matrix']","['Elementary mathematics', 'Identity matrix', 'Elementary matrix', 'Type theory', 'Matrix (mathematics)', 'Invertible matrix', 'Eigenvalues and eigenvectors']"
Constant function,"['Polynomial', 'Polynomial ring']","['Real number', 'Polynomial', 'Complex number', 'Vector space', 'Scalar (mathematics)']","['Polynomial ring', 'Vector space', 'Real number', 'Polynomial', 'Complex number', 'Scalar (mathematics)']"
Kernel (linear algebra),"['Affine transformation', 'Image (mathematics)']","['Matrix (mathematics)', 'Kernel (algebra)', 'Field extension', 'Linear map', 'Row echelon form']","['Linear map', 'Kernel (algebra)', 'Affine transformation', 'Row echelon form', 'Field extension', 'Matrix (mathematics)', 'Image (mathematics)']"
Smith normal form,[],"['Matrix (mathematics)', 'Row echelon form', 'Invertible matrix', 'Elementary matrix', 'Adam Smith']","['Adam Smith', 'Elementary matrix', 'Row echelon form', 'Matrix (mathematics)', 'Invertible matrix']"
Binomial (polynomial),"['Coefficient', 'Degree (graph theory)', 'Leading-order term', 'Order of a polynomial', 'Polynomial']",[],"['Order of a polynomial', 'Coefficient', 'Polynomial', 'Degree (graph theory)', 'Leading-order term']"
Local optimum,[],"['Maxima and minima', 'Function (mathematics)', 'Interval (mathematics)', 'Graph of a function', 'Rate (mathematics)']","['Function (mathematics)', 'Interval (mathematics)', 'Rate (mathematics)', 'Maxima and minima', 'Graph of a function']"
Superposition principle,[],"['Linear map', 'Euclidean vector', 'Zero element', 'Scalar (mathematics)', 'Distributive property']","['Distributive property', 'Linear map', 'Euclidean vector', 'Zero element', 'Scalar (mathematics)']"
Horizontal convective rolls,[],"['Function (mathematics)', 'Data compression', 'Antenna (radio)', 'Graph (discrete mathematics)', 'Vertebral compression fracture']","['Function (mathematics)', 'Antenna (radio)', 'Data compression', 'Graph (discrete mathematics)', 'Vertebral compression fracture']"
Fibonacci cube,['Recurrence plot'],"['Eigenvalues and eigenvectors', 'Matrix (mathematics)', 'Invertible matrix', 'Field extension', 'Sequence']","['Recurrence plot', 'Sequence', 'Field extension', 'Matrix (mathematics)', 'Invertible matrix', 'Eigenvalues and eigenvectors']"
Weierstrass factorization theorem,['Fundamental theorem of algebra'],"['Polynomial', 'Function (mathematics)', 'Complex number', 'Complex conjugate', 'Fundamental theorem of algebra']","['Function (mathematics)', 'Fundamental theorem of algebra', 'Polynomial', 'Complex conjugate', 'Complex number']"
Complement,"['Direct sum', 'Concatenation']","['Intersection (set theory)', '.example', 'Probability', 'Direct sum of modules', 'Vector space']","['Intersection (set theory)', 'Vector space', '.example', 'Direct sum of modules', 'Concatenation', 'Probability', 'Direct sum']"
Maple (software),['Computer algebra system'],"['Salvia officinalis', 'Computer', 'Computer algebra', 'Maple', 'LINPACK']","['Computer algebra', 'Maple', 'LINPACK', 'Salvia officinalis', 'Computer algebra system', 'Computer']"
Dimension (vector space),"['Vector space', 'Distance matrix', 'Matrix (mathematics)', 'Linear independence', 'Rank (linear algebra)']","['Vector space', 'Matrix (mathematics)', 'Independence (probability theory)', 'Linear independence', 'Row and column vectors']","['Vector space', 'Linear independence', 'Independence (probability theory)', 'Matrix (mathematics)', 'Distance matrix', 'Row and column vectors']"
Power associativity,"['Split-complex number', 'Scalar (mathematics)', 'Additive identity', 'Complex number', 'Mathematics']","['Complex number', 'Real number', 'Square root', 'Commutative property', 'Field (mathematics)']","['Additive identity', 'Square root', 'Mathematics', 'Real number', 'Complex number', 'Split-complex number', 'Commutative property']"
L-semi-inner product,[],"['Matrix (mathematics)', 'Dot product', 'Complex number', 'Complex conjugate', 'Standard basis']","['Standard basis', 'Dot product', 'Complex conjugate', 'Complex number', 'Matrix (mathematics)']"
Last Supper,"['Projective geometry', 'Abstraction (mathematics)', 'Vanishing point']","['Geometry', 'Matrix (mathematics)', 'Vinci SA', 'Vanishing point', 'Command-line interface']","['Projective geometry', 'Command-line interface', 'Geometry', 'Vanishing point', 'Abstraction (mathematics)', 'Matrix (mathematics)', 'Vinci SA']"
Harmonic function,[],"['Orthonormality', 'Vector space', 'Euclidean space', 'Standard basis', 'Linear combination']","['Orthonormality', 'Standard basis', 'Linear combination', 'Vector space', 'Euclidean space']"
Soviet Union,"['Product (mathematics)', 'Radical extension', 'Radical symbol', 'Square root']",[],"['Square root', 'Radical extension', 'Radical symbol', 'Product (mathematics)']"
Cholesky decomposition,['Definite matrix'],"['Matrix (mathematics)', 'Definite matrix', 'Factorization', 'Triangular matrix', 'Symmetric matrix']","['Symmetric matrix', 'Factorization', 'Definite matrix', 'Triangular matrix', 'Matrix (mathematics)']"
Linear discriminant analysis,['Consistency'],"['Coefficient', 'Euclidean vector', 'System of linear equations', 'Linear independence', 'Row echelon form']","['Euclidean vector', 'Consistency', 'Coefficient', 'System of linear equations', 'Row echelon form', 'Linear independence']"
Infinite-dimensional vector function,"['Linear independence', 'Linear span']","['Vector space', 'Polynomial', 'Dimension (vector space)', 'Linear algebra', 'Integer (computer science)']","['Dimension (vector space)', 'Linear span', 'Vector space', 'Integer (computer science)', 'Polynomial', 'Linear algebra', 'Linear independence']"
Linear code,"['Code', 'Coding theory', 'Gray code', 'Hamming distance']","['Error (baseball)', 'Code word', 'Disjoint sets', 'Decoding methods', 'Hamming bound']","['Decoding methods', 'Hamming distance', 'Code', 'Hamming bound', 'Disjoint sets', 'Gray code', 'Error (baseball)', 'Coding theory', 'Code word']"
Linear group,['Euclidean vector'],"['Linear equation', 'Plane (geometry)', 'Dimension', 'Euclidean vector', ""Newton's laws of motion""]","['Dimension', 'Euclidean vector', ""Newton's laws of motion"", 'Linear equation', 'Plane (geometry)']"
Adiabatic process,[],"['Data compression', 'Function (mathematics)', 'Graph (discrete mathematics)', 'Column-oriented DBMS', 'Vertical and horizontal']","['Function (mathematics)', 'Vertical and horizontal', 'Data compression', 'Graph (discrete mathematics)', 'Column-oriented DBMS']"
Helmholtz equation,['Focus (geometry)'],"['Perfect square', 'Trinomial nomenclature', 'Irreversible binomial', 'Completing the square', 'Radius']","['Completing the square', 'Irreversible binomial', 'Trinomial nomenclature', 'Perfect square', 'Focus (geometry)', 'Radius']"
Rotation formalisms in three dimensions,['Triangular matrix'],"['Matrix (mathematics)', 'Independence (probability theory)', 'Eigenvalues and eigenvectors', 'Characteristic polynomial', 'Linear map']","['Linear map', 'Independence (probability theory)', 'Characteristic polynomial', 'Triangular matrix', 'Matrix (mathematics)', 'Eigenvalues and eigenvectors']"
Pivot element,"['Canonical form', 'Echelon formation', 'Hermite normal form', ""Gauss's method"", 'Elementary matrix']","['Matrix (mathematics)', 'Row echelon form', 'Column', 'Field extension', 'Algorithm']","['Echelon formation', 'Algorithm', 'Canonical form', ""Gauss's method"", 'Row echelon form', 'Field extension', 'Column', 'Matrix (mathematics)']"
Perfect number,"['Code', 'Coding theory', 'Gray code', 'Hamming distance']","['Error (baseball)', 'Code word', 'Disjoint sets', 'Decoding methods', 'Hamming bound']","['Decoding methods', 'Hamming distance', 'Code', 'Hamming bound', 'Disjoint sets', 'Gray code', 'Error (baseball)', 'Coding theory', 'Code word']"
Normal matrix,"['Diagonalizable group', 'Diagonal matrix']","['Matrix (mathematics)', 'Vector space', 'Diagonal matrix', 'Eigenvalues and eigenvectors', 'Basis (linear algebra)']","['Diagonalizable group', 'Vector space', 'Basis (linear algebra)', 'Diagonal matrix', 'Matrix (mathematics)', 'Eigenvalues and eigenvectors']"
Vector notation,"['Vector (mathematics and physics)', 'Unit vector', 'Matrix multiplication', 'Vector space', 'Euclidean vector']","['Euclidean vector', 'Matrix (mathematics)', 'Cartesian coordinate system', 'Row and column vectors', 'Field extension']",['Field extension']
Einstein notation,"['Series (mathematics)', 'Matrix (mathematics)', 'Matrix addition', 'Pauli matrices', 'Rotation matrix']","['Mathematical notation', 'Sequence', 'Geometric progression', 'Matrix (mathematics)', 'Formula']","['Sequence', 'Matrix addition', 'Geometric progression', 'Rotation matrix', 'Pauli matrices', 'Matrix (mathematics)', 'Mathematical notation', 'Formula']"
Algebraic number,['Mathematical and theoretical biology'],"['Electrical network', 'Voltage', 'Electric current', 'Intersection (road)', 'Clockwise']","['Electrical network', 'Clockwise', 'Intersection (road)', 'Mathematical and theoretical biology', 'Electric current', 'Voltage']"
Dilution (equation),"['Crystal (mathematics)', 'Field (mathematics)']","['Salt', 'Cube', 'Atom', 'Sodium chloride', 'Number']","['Salt', 'Field (mathematics)', 'Number', 'Sodium chloride', 'Atom', 'Cube', 'Crystal (mathematics)']"
Orthogonal matrix,"['Determinant', 'Unit vector', ""Cramer's rule"", 'Invertible matrix', 'Adjugate matrix']","['Field extension', 'Matrix (mathematics)', 'Inner product space', 'Theorem', 'Square matrix']","['Field extension', 'Matrix (mathematics)', 'Theorem', 'Square matrix']"
